SPY: SPDR S&P 500 ETF
Inception Date: 1993-01-22
Fund Holdings as of: 2020-03-26
Total Assets Under Management (in thousands):	244286779
Shares Outstanding: 931932000
Expense Ratio: 0.0945%
Tracks This Index: S&P 500 Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: UIT
ETF Home Page: https://etfdb.com/etf/SPY


Holding,Symbol,Weighting
Henry Schein Inc,HSIC,0.036%
United Airlines Holdings Inc,UAL,0.0355%
ViacomCBS Inc,VIAC,0.0347%
Darden Restaurants Inc,DRI,0.0342%
United Rentals Inc,URI,0.0341%
Campbell Soup Co,CPB,0.0339%
W. R. Berkley Corp,WRB,0.0337%
Universal Health Services Inc,UHS,0.0336%
Westrock Co,WRK,0.0336%
Iron Mountain Inc,IRM,0.0336%
Molson Coors Beverage Co,TAP,0.0333%
Globe Life Inc,GL,0.0331%
Carnival Corp,CCL,0.0328%
Regency Centers Corp,REG,0.0326%
NRG Energy Inc,NRG,0.0325%
F5 Networks Inc,FFIV,0.0322%
Royal Caribbean Cruises Ltd,RCL,0.0319%
MGM Resorts International,MGM,0.0317%
Wynn Resorts Ltd,WYNN,0.0316%
Arconic Inc,ARNC,0.0315%
Cabot Oil & Gas Corp,COG,0.0315%
Juniper Networks Inc,JNPR,0.0313%
LKQ Corp,LKQ,0.0312%
Advance Auto Parts Inc,AAP,0.0311%
ABIOMED Inc,ABMD,0.0307%
Textron Inc,TXT,0.0306%
DaVita Inc,DVA,0.0304%
Eastman Chemical Co,EMN,0.03%
PulteGroup Inc,PHM,0.03%
Live Nation Entertainment Inc,LYV,0.0298%
Interpublic Group of Companies Inc,IPG,0.0296%
Albemarle Corp,ALB,0.0295%
Perrigo Company PLC,PRGO,0.0291%
Assurant Inc,AIZ,0.0289%
Discovery Inc,DISCK,0.0289%
Snap-On Inc,SNA,0.0286%
Fortune Brands Home & Security Inc,FBHS,0.0285%
Halliburton Co,HAL,0.0283%
CF Industries Holdings Inc,CF,0.0282%
American Airlines Group Inc,AAL,0.028%
Vornado Realty Trust,VNO,0.0268%
DISH Network Corp,DISH,0.0262%
Lincoln National Corp,LNC,0.0261%
Federal Realty Investment Trust,FRT,0.0252%
Newell Brands Inc,NWL,0.0247%
People's United Financial Inc,PBCT,0.0246%
Whirlpool Corp,WHR,0.0241%
BorgWarner Inc,BWA,0.0236%
Robert Half International Inc,RHI,0.0235%
Pentair PLC,PNR,0.0234%
Franklin Resources Inc,BEN,0.0234%
A. O. Smith Corp,AOS,0.0233%
Comerica Inc,CMA,0.0226%
Mohawk Industries Inc,MHK,0.0226%
Nielsen Holdings PLC,NLSN,0.0225%
Apartment Investment and Management Co,AIV,0.0224%
Kimco Realty Corp,KIM,0.0219%
Rollins Inc,ROL,0.0218%
Zions Bancorporation NA,ZION,0.0213%
FLIR Systems Inc,FLIR,0.0209%
Quanta Services Inc,PWR,0.0207%
National Oilwell Varco Inc,NOV,0.0199%
Tapestry Inc,TPR,0.0192%
Diamondback Energy Inc,FANG,0.0192%
IPG Photonics Corp,IPGP,0.0187%
Sealed Air Corp,SEE,0.0185%
Fox Corp,FOX,0.0184%
Alaska Air Group Inc,ALK,0.0183%
Leggett & Platt Inc,LEG,0.0183%
SL Green Realty Corp,SLG,0.0182%
DXC Technology Co,DXC,0.018%
Mosaic Co,MOS,0.0172%
Ralph Lauren Corp,RL,0.017%
Xerox Holdings Corp,XRX,0.0168%
Invesco Ltd,IVZ,0.0168%
News Corp,NWSA,0.0163%
HollyFrontier Corp,HFC,0.0163%
Norwegian Cruise Line Holdings Ltd,NCLH,0.0153%
Discovery Inc,DISCA,0.0152%
Unum Group,UNM,0.015%
HanesBrands Inc,HBI,0.0148%
Harley-Davidson Inc,HOG,0.0147%
Flowserve Corp,FLS,0.0144%
H & R Block Inc,HRB,0.0142%
Marathon Oil Corp,MRO,0.0142%
L Brands Inc,LB,0.014%
TechnipFMC PLC,FTI,0.0139%
Noble Energy Inc,NBL,0.0136%
PVH Corp,PVH,0.0134%
Devon Energy Corp,DVN,0.0131%
Kohls Corp,KSS,0.0129%
Apache Corp,APA,0.0099%
